State,City,Order_Date,Restaurant_Name,Location,Category,Dish_Name,Price_INR,Rating,Rating_Count
Madhya Pradesh,Bhopal,31-08-2025,Roll Nation,MG Road,South Indian,Vada,499,4.2,3678
West Bengal,Kolkata,16-09-2024,Royal Kitchen,Banjara Hills,Dessert,Brownie,499,4.4,4263
Tamil Nadu,Coimbatore,13-06-2025,Spice Hub,West,South Indian,Idli,199,4.4,2752
Karnataka,Bengaluru,11-04-2024,Tandoori Treat,West,North Indian,Dal Makhani,399,4.8,1151
Karnataka,Mangalore,17-11-2025,Subway,Andheri,Chinese,Fried Rice,99,3.6,479
Delhi,New Delhi,20-10-2025,Pizza Hut,East,Biryani,Veg Biryani,249,4.1,266
Karnataka,Mangalore,20-08-2025,Subway,Andheri,Beverages,Cold Coffee,499,4.6,4049
Telangana,Hyderabad,20-08-2024,Cafe Aroma,Central,South Indian,Masala Dosa,599,4.1,1306
Madhya Pradesh,Indore,16-04-2025,Tandoori Treat,Koramangala,Biryani,Hyderabadi Biryani,99,3.7,1517
Uttar Pradesh,Lucknow,25-09-2025,Pizza Hut,West,Pizza,Margherita,249,4,671
Maharashtra,Nagpur,13-07-2025,Roll Nation,West,Beverages,Lassi,99,4.5,2012
Tamil Nadu,Madurai,09-06-2025,Domino's,East,Burger,Veg Burger,299,3.6,2672
Tamil Nadu,Coimbatore,30-10-2025,Cafe Aroma,Andheri,Chinese,Fried Rice,699,3.7,560
Delhi,New Delhi,30-05-2024,Cafe Aroma,MG Road,South Indian,Idli,499,5,3735
West Bengal,Kolkata,20-12-2025,Burger King,Koramangala,Dessert,Brownie,599,4.6,2729
Rajasthan,Udaipur,14-02-2024,Domino's,MG Road,Dessert,Gulab Jamun,199,3.8,1701
Tamil Nadu,Chennai,14-04-2024,Subway,North,Dessert,Brownie,599,4.2,845
Delhi,New Delhi,15-02-2025,Domino's,South,Dessert,Gulab Jamun,399,4.1,422
Maharashtra,Nagpur,23-05-2024,Cafe Aroma,North,North Indian,Naan,199,3.8,1650
West Bengal,Siliguri,16-11-2024,KFC,Central,South Indian,Vada,499,3.9,142
Rajasthan,Jaipur,26-06-2024,Biryani House,West,North Indian,Naan,149,4,3935
Madhya Pradesh,Indore,06-01-2024,Biryani House,Sector 18,Beverages,Lassi,149,3.9,1089
Uttar Pradesh,Kanpur,13-04-2025,Royal Kitchen,North,Burger,Cheese Burger,499,4.9,1468
Madhya Pradesh,Indore,30-03-2024,Food Junction,Andheri,Dessert,Gulab Jamun,399,4.2,2599
Uttar Pradesh,Lucknow,13-01-2024,Cafe Aroma,South,South Indian,Vada,699,4.9,1926
Madhya Pradesh,Indore,26-03-2025,Biryani House,East,Burger,Veg Burger,499,4.5,2325
Gujarat,Surat,25-01-2024,KFC,East,Pizza,Pepper Paneer,349,4.2,4334
Tamil Nadu,Coimbatore,21-12-2024,Pizza Hut,East,South Indian,Masala Dosa,199,4.8,4356
Maharashtra,Pune,20-12-2024,Pizza Hut,Koramangala,Pizza,Pepper Paneer,399,5,2758
Maharashtra,Nagpur,29-11-2025,Cafe Aroma,West,North Indian,Dal Makhani,299,4.6,707
Maharashtra,Pune,07-10-2024,Spice Hub,West,Dessert,Ice Cream,149,4.1,345
Tamil Nadu,Chennai,31-03-2024,Spice Hub,Sector 18,Pizza,Veg Farmhouse,699,3.5,1767
Uttar Pradesh,Lucknow,07-07-2025,Domino's,Banjara Hills,Chinese,Hakka Noodles,599,4.4,4642
